,state_smooth
2025-05-08 10:58:47.584,working
2025-05-08 10:58:48.706,working
2025-05-08 10:58:49.894,working
2025-05-08 10:58:50.982,working
2025-05-08 10:58:52.222,working
2025-05-08 10:58:53.314,working
2025-05-08 10:58:54.413,working
2025-05-08 10:58:55.635,working
2025-05-08 10:58:56.745,working
2025-05-08 10:58:57.833,working
2025-05-08 10:58:58.932,working
2025-05-08 10:59:00.265,working
2025-05-08 10:59:01.486,working
2025-05-08 10:59:02.707,working
2025-05-08 10:59:03.918,working
2025-05-08 10:59:05.251,working
2025-05-08 10:59:06.339,working
2025-05-08 10:59:07.539,working
2025-05-08 10:59:09.018,working
2025-05-08 10:59:10.105,working
2025-05-08 10:59:11.214,working
2025-05-08 10:59:12.303,working
2025-05-08 10:59:13.414,working
2025-05-08 10:59:14.583,working
2025-05-08 10:59:15.657,working
2025-05-08 10:59:16.879,working
2025-05-08 10:59:17.994,working
2025-05-08 10:59:19.100,working
2025-05-08 10:59:20.210,working
2025-05-08 10:59:21.288,working
2025-05-08 10:59:22.376,working
2025-05-08 10:59:23.575,working
2025-05-08 10:59:24.918,working
2025-05-08 10:59:26.207,working
2025-05-08 10:59:27.317,working
2025-05-08 10:59:28.383,working
2025-05-08 10:59:29.494,working
2025-05-08 10:59:30.694,working
2025-05-08 10:59:32.037,working
2025-05-08 10:59:33.259,working
2025-05-08 10:59:34.348,working
2025-05-08 10:59:35.458,working
2025-05-08 10:59:36.546,working
2025-05-08 10:59:37.657,working
2025-05-08 10:59:38.757,working
2025-05-08 10:59:39.866,working
2025-05-08 10:59:40.977,working
2025-05-08 10:59:42.196,working
2025-05-08 10:59:43.309,working
2025-05-08 10:59:44.486,working
2025-05-08 10:59:45.563,working
2025-05-08 10:59:46.796,working
2025-05-08 10:59:48.016,working
2025-05-08 10:59:49.127,working
2025-05-08 10:59:50.337,working
2025-05-08 10:59:51.436,working
2025-05-08 10:59:52.624,working
2025-05-08 10:59:53.812,working
2025-05-08 10:59:55.145,working
2025-05-08 10:59:56.344,working
2025-05-08 10:59:57.443,working
2025-05-08 10:59:58.544,working
2025-05-08 10:59:59.642,working
2025-05-08 11:00:00.753,working
2025-05-08 11:00:01.964,working
2025-05-08 11:00:03.072,working
2025-05-08 11:00:04.150,working
2025-05-08 11:00:05.350,working
2025-05-08 11:00:06.438,working
2025-05-08 11:00:07.526,working
2025-05-08 11:00:08.637,working
2025-05-08 11:00:09.748,working
2025-05-08 11:00:10.836,working
2025-05-08 11:00:11.955,working
2025-05-08 11:00:13.156,working
2025-05-08 11:00:14.356,working
2025-05-08 11:00:15.453,working
2025-05-08 11:00:16.542,working
2025-05-08 11:00:17.730,working
2025-05-08 11:00:18.818,working
2025-05-08 11:00:20.026,working
2025-05-08 11:00:21.127,working
2025-05-08 11:00:22.218,working
2025-05-08 11:00:23.320,working
2025-05-08 11:00:24.424,working
2025-05-08 11:00:25.534,working
2025-05-08 11:00:26.857,working
2025-05-08 11:00:27.978,working
2025-05-08 11:00:29.198,working
2025-05-08 11:00:30.308,working
2025-05-08 11:00:31.396,working
2025-05-08 11:00:32.495,working
2025-05-08 11:00:33.706,working
2025-05-08 11:00:34.904,working
2025-05-08 11:00:36.020,working
2025-05-08 11:00:37.127,working
2025-05-08 11:00:38.218,working
2025-05-08 11:00:39.311,working
2025-05-08 11:00:40.421,working
2025-05-08 11:00:41.850,working
2025-05-08 11:00:43.051,working
2025-05-08 11:00:44.251,working
2025-05-08 11:00:45.361,working
2025-05-08 11:00:46.460,working
2025-05-08 11:00:47.680,working
2025-05-08 11:00:48.790,working
2025-05-08 11:00:49.890,working
2025-05-08 11:00:51.322,working
2025-05-08 11:00:52.221,working
2025-05-08 11:00:53.442,working
2025-05-08 11:00:54.541,working
2025-05-08 11:00:55.650,working
2025-05-08 11:00:56.861,working
2025-05-08 11:00:57.971,working
2025-05-08 11:00:59.081,working
2025-05-08 11:01:00.269,working
2025-05-08 11:01:01.457,working
2025-05-08 11:01:02.546,working
2025-05-08 11:01:03.644,working
2025-05-08 11:01:04.743,working
2025-05-08 11:01:05.853,working
2025-05-08 11:01:06.954,working
2025-05-08 11:01:08.396,working
2025-05-08 11:01:09.585,working
2025-05-08 11:01:11.117,working
2025-05-08 11:01:12.215,working
2025-05-08 11:01:13.326,working
2025-05-08 11:01:14.425,working
2025-05-08 11:01:15.524,working
2025-05-08 11:01:16.634,working
2025-05-08 11:01:17.756,working
2025-05-08 11:01:18.866,working
2025-05-08 11:01:19.966,working
2025-05-08 11:01:21.066,working
2025-05-08 11:01:22.175,working
2025-05-08 11:01:23.386,working
2025-05-08 11:01:24.486,working
2025-05-08 11:01:25.573,working
2025-05-08 11:01:26.905,working
2025-05-08 11:01:28.001,working
2025-05-08 11:01:29.082,working
2025-05-08 11:01:30.200,working
2025-05-08 11:01:31.401,working
2025-05-08 11:01:32.612,working
2025-05-08 11:01:33.978,working
2025-05-08 11:01:35.166,working
2025-05-08 11:01:36.376,working
2025-05-08 11:01:37.475,working
2025-05-08 11:01:38.574,working
2025-05-08 11:01:39.685,working
2025-05-08 11:01:40.784,working
2025-05-08 11:01:42.000,working
2025-05-08 11:01:43.183,working
2025-05-08 11:01:44.281,working
2025-05-08 11:01:45.368,working
2025-05-08 11:01:46.479,working
2025-05-08 11:01:47.589,working
2025-05-08 11:01:48.799,working
2025-05-08 11:01:49.898,working
2025-05-08 11:01:51.006,working
2025-05-08 11:01:52.222,working
2025-05-08 11:01:53.317,working
2025-05-08 11:01:54.428,working
2025-05-08 11:01:55.505,working
2025-05-08 11:01:56.593,working
2025-05-08 11:01:57.771,working
2025-05-08 11:01:58.858,working
2025-05-08 11:01:59.968,working
2025-05-08 11:02:01.067,working
2025-05-08 11:02:02.445,working
2025-05-08 11:02:03.545,working
2025-05-08 11:02:04.633,working
2025-05-08 11:02:05.832,working
2025-05-08 11:02:07.165,working
2025-05-08 11:02:08.375,working
2025-05-08 11:02:09.486,working
2025-05-08 11:02:10.574,working
2025-05-08 11:02:11.673,working
2025-05-08 11:02:12.784,working
2025-05-08 11:02:13.895,working
2025-05-08 11:02:15.016,working
2025-05-08 11:02:16.094,working
2025-05-08 11:02:17.193,working
2025-05-08 11:02:18.481,working
2025-05-08 11:02:19.570,working
2025-05-08 11:02:20.668,working
2025-05-08 11:02:21.767,working
2025-05-08 11:02:22.879,working
2025-05-08 11:02:23.976,working
2025-05-08 11:02:25.098,working
2025-05-08 11:02:26.212,working
2025-05-08 11:02:27.306,working
2025-05-08 11:02:28.416,working
2025-05-08 11:02:29.537,working
2025-05-08 11:02:30.647,working
2025-05-08 11:02:31.757,working
2025-05-08 11:02:32.856,working
2025-05-08 11:02:33.954,working
2025-05-08 11:02:35.076,working
2025-05-08 11:02:36.177,working
2025-05-08 11:02:37.274,working
2025-05-08 11:02:38.381,working
2025-05-08 11:02:39.471,working
2025-05-08 11:02:40.581,working
2025-05-08 11:02:41.680,working
2025-05-08 11:02:42.890,working
2025-05-08 11:02:43.989,working
2025-05-08 11:02:45.081,working
2025-05-08 11:02:46.254,working
2025-05-08 11:02:47.348,working
2025-05-08 11:02:48.440,working
2025-05-08 11:02:49.539,working
2025-05-08 11:02:50.749,working
2025-05-08 11:02:51.859,working
2025-05-08 11:02:53.236,working
2025-05-08 11:02:54.335,working
2025-05-08 11:02:55.423,working
2025-05-08 11:02:56.645,working
2025-05-08 11:02:57.433,working
2025-05-08 11:02:57.986,working
2025-05-08 11:02:58.965,working
2025-05-08 11:03:00.142,working
2025-05-08 11:03:01.227,working
2025-05-08 11:03:02.330,working
2025-05-08 11:03:03.440,working
2025-05-08 11:03:04.556,working
2025-05-08 11:03:05.650,working
2025-05-08 11:03:06.717,working
2025-05-08 11:03:07.938,working
2025-05-08 11:03:09.148,working
2025-05-08 11:03:10.247,working
2025-05-08 11:03:11.313,working
2025-05-08 11:03:12.412,working
2025-05-08 11:03:13.589,working
2025-05-08 11:03:14.689,working
2025-05-08 11:03:15.799,working
2025-05-08 11:03:16.887,working
2025-05-08 11:03:17.986,working
2025-05-08 11:03:19.108,working
2025-05-08 11:03:20.706,working
2025-05-08 11:03:22.472,working
2025-05-08 11:03:23.670,working
2025-05-08 11:03:24.780,working
2025-05-08 11:03:25.880,working
2025-05-08 11:03:26.968,working
2025-05-08 11:03:28.089,working
2025-05-08 11:03:29.208,working
2025-05-08 11:03:30.301,working
2025-05-08 11:03:31.497,working
2025-05-08 11:03:32.819,working
2025-05-08 11:03:34.151,working
2025-05-08 11:03:35.350,working
2025-05-08 11:03:36.560,working
2025-05-08 11:03:37.893,working
2025-05-08 11:03:38.969,working
2025-05-08 11:03:40.068,working
2025-05-08 11:03:41.256,working
2025-05-08 11:03:42.577,working
2025-05-08 11:03:43.872,working
2025-05-08 11:03:44.976,working
2025-05-08 11:03:46.086,working
2025-05-08 11:03:47.196,working
2025-05-08 11:03:48.306,working
2025-05-08 11:03:49.416,working
2025-05-08 11:03:50.526,working
2025-05-08 11:03:51.636,working
2025-05-08 11:03:52.846,working
2025-05-08 11:03:53.956,working
2025-05-08 11:03:55.168,working
2025-05-08 11:03:56.365,working
2025-05-08 11:03:57.586,working
2025-05-08 11:03:58.270,working
2025-05-08 11:03:59.363,working
2025-05-08 11:04:00.472,working
2025-05-08 11:04:01.693,working
2025-05-08 11:04:02.803,working
2025-05-08 11:04:04.011,working
2025-05-08 11:04:05.100,working
2025-05-08 11:04:06.213,working
2025-05-08 11:04:07.320,working
2025-05-08 11:04:08.420,working
2025-05-08 11:04:09.530,working
2025-05-08 11:04:10.640,working
2025-05-08 11:04:11.750,working
2025-05-08 11:04:12.848,working
2025-05-08 11:04:14.069,working
2025-05-08 11:04:15.290,working
2025-05-08 11:04:16.489,working
2025-05-08 11:04:18.044,working
2025-05-08 11:04:19.041,working
2025-05-08 11:04:20.160,working
2025-05-08 11:04:21.241,working
2025-05-08 11:04:22.453,working
2025-05-08 11:04:23.525,working
2025-05-08 11:04:24.624,working
2025-05-08 11:04:25.833,working
2025-05-08 11:04:27.154,working
2025-05-08 11:04:28.375,working
2025-05-08 11:04:29.874,working
2025-05-08 11:04:30.818,working
2025-05-08 11:04:31.906,working
2025-05-08 11:04:32.972,working
2025-05-08 11:04:34.171,working
2025-05-08 11:04:35.260,working
2025-05-08 11:04:36.481,working
2025-05-08 11:04:37.703,working
2025-05-08 11:04:38.790,working
2025-05-08 11:04:39.889,working
2025-05-08 11:04:40.996,working
2025-05-08 11:04:42.104,working
2025-05-08 11:04:43.209,working
2025-05-08 11:04:44.320,working
2025-05-08 11:04:45.429,working
2025-05-08 11:04:46.895,working
2025-05-08 11:04:48.004,working
2025-05-08 11:04:49.122,working
2025-05-08 11:04:50.224,working
2025-05-08 11:04:51.335,working
2025-05-08 11:04:52.444,working
2025-05-08 11:04:53.554,working
2025-05-08 11:04:54.665,working
2025-05-08 11:04:55.774,working
2025-05-08 11:04:56.885,working
2025-05-08 11:04:57.972,working
2025-05-08 11:04:59.693,working
2025-05-08 11:05:00.792,working
2025-05-08 11:05:01.901,working
2025-05-08 11:05:03.111,working
2025-05-08 11:05:04.366,working
2025-05-08 11:05:05.475,working
2025-05-08 11:05:06.696,working
2025-05-08 11:05:07.784,working
2025-05-08 11:05:08.872,working
2025-05-08 11:05:09.984,working
2025-05-08 11:05:11.105,working
2025-05-08 11:05:12.315,working
2025-05-08 11:05:13.533,working
2025-05-08 11:05:14.632,working
2025-05-08 11:05:15.731,working
2025-05-08 11:05:16.830,working
2025-05-08 11:05:17.929,working
2025-05-08 11:05:19.138,working
2025-05-08 11:05:20.237,working
