,state_smooth
2025-05-08 13:26:15.000,off
2025-05-08 13:26:15.500,off
2025-05-08 13:26:16.000,off
2025-05-08 13:26:16.500,off
2025-05-08 13:26:17.000,off
2025-05-08 13:26:17.500,off
2025-05-08 13:26:18.000,off
2025-05-08 13:26:18.500,off
2025-05-08 13:26:19.000,off
2025-05-08 13:26:19.500,off
2025-05-08 13:26:20.000,off
2025-05-08 13:26:20.500,off
2025-05-08 13:26:21.000,off
2025-05-08 13:26:21.500,off
2025-05-08 13:26:22.000,off
2025-05-08 13:26:22.500,off
2025-05-08 13:26:23.000,off
2025-05-08 13:26:23.500,off
2025-05-08 13:26:24.000,off
2025-05-08 13:26:24.500,off
2025-05-08 13:26:25.000,off
2025-05-08 13:26:25.500,off
2025-05-08 13:26:26.000,off
2025-05-08 13:26:26.500,off
2025-05-08 13:26:27.000,off
2025-05-08 13:26:27.500,off
2025-05-08 13:26:28.000,off
2025-05-08 13:26:28.500,off
2025-05-08 13:26:29.000,off
2025-05-08 13:26:29.500,off
2025-05-08 13:26:30.000,off
2025-05-08 13:26:30.500,off
2025-05-08 13:26:31.000,off
2025-05-08 13:26:31.500,off
2025-05-08 13:26:32.000,off
2025-05-08 13:26:32.500,off
2025-05-08 13:26:33.000,off
2025-05-08 13:26:33.500,off
2025-05-08 13:26:34.000,off
2025-05-08 13:26:34.500,off
2025-05-08 13:26:35.000,off
2025-05-08 13:26:35.500,off
2025-05-08 13:26:36.000,off
2025-05-08 13:26:36.500,off
2025-05-08 13:26:37.000,off
2025-05-08 13:26:37.500,off
2025-05-08 13:26:38.000,off
2025-05-08 13:26:38.500,off
2025-05-08 13:26:39.000,off
2025-05-08 13:26:39.500,off
2025-05-08 13:26:40.000,off
2025-05-08 13:26:40.500,off
2025-05-08 13:26:41.000,off
2025-05-08 13:26:41.500,off
2025-05-08 13:26:42.000,off
2025-05-08 13:26:42.500,off
2025-05-08 13:26:43.000,off
2025-05-08 13:26:43.500,off
2025-05-08 13:26:44.000,off
2025-05-08 13:26:44.500,off
2025-05-08 13:26:45.000,off
2025-05-08 13:26:45.500,off
2025-05-08 13:26:46.000,off
2025-05-08 13:26:46.500,off
2025-05-08 13:26:47.000,off
2025-05-08 13:26:47.500,off
2025-05-08 13:26:48.000,off
2025-05-08 13:26:48.500,off
2025-05-08 13:26:49.000,off
2025-05-08 13:26:49.500,off
2025-05-08 13:26:50.000,off
2025-05-08 13:26:50.500,off
2025-05-08 13:26:51.000,off
2025-05-08 13:26:51.500,off
2025-05-08 13:26:52.000,off
2025-05-08 13:26:52.500,off
2025-05-08 13:26:53.000,off
2025-05-08 13:26:53.500,off
2025-05-08 13:26:54.000,off
2025-05-08 13:26:54.500,off
2025-05-08 13:26:55.000,off
2025-05-08 13:26:55.500,off
2025-05-08 13:26:56.000,off
2025-05-08 13:26:56.500,off
2025-05-08 13:26:57.000,off
2025-05-08 13:26:57.500,off
2025-05-08 13:26:58.000,off
2025-05-08 13:26:58.500,off
2025-05-08 13:26:59.000,off
2025-05-08 13:26:59.500,off
2025-05-08 13:27:00.000,off
2025-05-08 13:27:00.500,off
2025-05-08 13:27:01.000,off
2025-05-08 13:27:01.500,off
2025-05-08 13:27:02.000,off
2025-05-08 13:27:02.500,off
2025-05-08 13:27:03.000,off
2025-05-08 13:27:03.500,off
2025-05-08 13:27:04.000,off
2025-05-08 13:27:04.500,off
2025-05-08 13:27:05.000,off
2025-05-08 13:27:05.500,off
2025-05-08 13:27:06.000,off
2025-05-08 13:27:06.500,off
2025-05-08 13:27:07.000,off
2025-05-08 13:27:07.500,off
2025-05-08 13:27:08.000,off
2025-05-08 13:27:08.500,off
2025-05-08 13:27:09.000,off
2025-05-08 13:27:09.500,off
2025-05-08 13:27:10.000,off
2025-05-08 13:27:10.500,off
2025-05-08 13:27:11.000,off
2025-05-08 13:27:11.500,off
2025-05-08 13:27:12.000,off
2025-05-08 13:27:12.500,off
2025-05-08 13:27:13.000,off
2025-05-08 13:27:13.500,off
2025-05-08 13:27:14.000,off
2025-05-08 13:27:14.500,off
2025-05-08 13:27:15.000,off
2025-05-08 13:27:15.500,off
