,state_smooth,state_rule_based,final_state
2025-05-08 13:24:15.000,working,working,working
2025-05-08 13:24:15.500,working,working,working
2025-05-08 13:24:16.000,working,working,working
2025-05-08 13:24:16.500,working,working,working
2025-05-08 13:24:17.000,working,working,working
2025-05-08 13:24:17.500,working,working,working
2025-05-08 13:24:18.000,working,working,working
2025-05-08 13:24:18.500,working,working,working
2025-05-08 13:24:19.000,working,working,working
2025-05-08 13:24:19.500,working,working,working
2025-05-08 13:24:20.000,working,working,working
2025-05-08 13:24:20.500,working,working,working
2025-05-08 13:24:21.000,working,working,working
2025-05-08 13:24:21.500,working,working,working
2025-05-08 13:24:22.000,working,working,working
2025-05-08 13:24:22.500,working,working,working
2025-05-08 13:24:23.000,working,working,working
2025-05-08 13:24:23.500,working,working,working
2025-05-08 13:24:24.000,working,working,working
2025-05-08 13:24:24.500,working,working,working
2025-05-08 13:24:25.000,working,working,working
2025-05-08 13:24:25.500,working,working,working
2025-05-08 13:24:26.000,working,working,working
2025-05-08 13:24:26.500,working,working,working
2025-05-08 13:24:27.000,working,working,working
2025-05-08 13:24:27.500,working,working,working
2025-05-08 13:24:28.000,working,working,working
2025-05-08 13:24:28.500,working,working,working
2025-05-08 13:24:29.000,working,working,working
2025-05-08 13:24:29.500,working,working,working
2025-05-08 13:24:30.000,working,working,working
2025-05-08 13:24:30.500,working,working,working
2025-05-08 13:24:31.000,working,working,working
2025-05-08 13:24:31.500,working,working,working
2025-05-08 13:24:32.000,working,working,working
2025-05-08 13:24:32.500,working,working,working
2025-05-08 13:24:33.000,working,working,working
2025-05-08 13:24:33.500,working,working,working
2025-05-08 13:24:34.000,working,working,working
2025-05-08 13:24:34.500,working,working,working
2025-05-08 13:24:35.000,working,working,working
2025-05-08 13:24:35.500,working,working,working
2025-05-08 13:24:36.000,working,working,working
2025-05-08 13:24:36.500,working,working,working
2025-05-08 13:24:37.000,working,working,working
2025-05-08 13:24:37.500,working,working,working
2025-05-08 13:24:38.000,working,working,working
2025-05-08 13:24:38.500,working,working,working
2025-05-08 13:24:39.000,working,working,working
2025-05-08 13:24:39.500,working,working,working
2025-05-08 13:24:40.000,working,working,working
2025-05-08 13:24:40.500,working,working,working
2025-05-08 13:24:41.000,working,working,working
2025-05-08 13:24:41.500,working,working,working
2025-05-08 13:24:42.000,working,working,working
2025-05-08 13:24:42.500,working,working,working
2025-05-08 13:24:43.000,working,working,working
2025-05-08 13:24:43.500,working,working,working
2025-05-08 13:24:44.000,working,working,working
2025-05-08 13:24:44.500,working,working,working
2025-05-08 13:24:45.000,working,working,working
2025-05-08 13:24:45.500,working,working,working
2025-05-08 13:24:46.000,working,working,working
2025-05-08 13:24:46.500,working,working,working
2025-05-08 13:24:47.000,working,working,working
2025-05-08 13:24:47.500,working,working,working
2025-05-08 13:24:48.000,working,working,working
2025-05-08 13:24:48.500,working,working,working
2025-05-08 13:24:49.000,working,working,working
2025-05-08 13:24:49.500,working,working,working
2025-05-08 13:24:50.000,working,working,working
2025-05-08 13:24:50.500,working,working,working
2025-05-08 13:24:51.000,working,working,working
2025-05-08 13:24:51.500,working,working,working
2025-05-08 13:24:52.000,working,working,working
2025-05-08 13:24:52.500,working,working,working
2025-05-08 13:24:53.000,working,working,working
2025-05-08 13:24:53.500,working,working,working
2025-05-08 13:24:54.000,working,working,working
2025-05-08 13:24:54.500,working,working,working
2025-05-08 13:24:55.000,working,working,working
2025-05-08 13:24:55.500,working,working,working
2025-05-08 13:24:56.000,working,working,working
2025-05-08 13:24:56.500,working,working,working
2025-05-08 13:24:57.000,working,working,working
2025-05-08 13:24:57.500,working,working,working
2025-05-08 13:24:58.000,working,working,working
2025-05-08 13:24:58.500,working,working,working
2025-05-08 13:24:59.000,working,working,working
2025-05-08 13:24:59.500,working,working,working
2025-05-08 13:25:00.000,working,working,working
2025-05-08 13:25:00.500,working,working,working
2025-05-08 13:25:01.000,working,working,working
2025-05-08 13:25:01.500,working,working,working
2025-05-08 13:25:02.000,working,working,working
2025-05-08 13:25:02.500,working,working,working
2025-05-08 13:25:03.000,working,working,working
2025-05-08 13:25:03.500,working,working,working
